App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Is_Free,Rating_Category,Install_Category,Size_Category
Funny Jokes and Stories 2018,COMICS,0.05219064225578477,-0.15987012735834447,-0.32505535848177763,-0.16886013839397057,Free,-0.06305416804317218,Everyone,Comics,"March 31, 2018",1.3,4.0 and up,Free,Excellent,Medium,Small
Hojiboy Tojiboyev Life Hacks,COMICS,1.5074519684789958,-0.15987356847232945,-0.005985315052852403,-0.1689465238211093,Free,-0.06305416804317218,Everyone,Comics,"June 26, 2018",2.0,4.0.3 and up,Free,Excellent,Low,Large
"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,0.9617289711452919,-0.15781979694229376,-0.313471957565216,-0.16875215661004717,Free,-0.06305416804317218,Teen,Comics,"June 16, 2018",1.01,4.0.3 and up,Free,Excellent,Medium,Small
think Comics,COMICS,0.41600597381158794,-0.1593052111458102,-0.19553187550567927,-0.16788830233865984,Free,-0.06305416804317218,Everyone,Comics,"August 3, 2018",2.3.3,4.0.3 and up,Free,Excellent,Medium,Medium
Memes Button,COMICS,0.41600597381158794,-0.15645940988023158,-0.3355857229513791,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Comics,"May 28, 2018",1.4,4.0 and up,Free,Excellent,High,Small
"Laftel - Watching and Announcing Snooping, Streaming",COMICS,0.7798213053673895,-0.15707479576454553,-0.027046043992055388,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Comics,"August 2, 2018",2.4.25,4.4 and up,Free,Excellent,Medium,Large
Messenger for SMS,COMMUNICATION,0.23409830803368553,-0.08804490218784763,-0.21659260444488226,0.04699544766893367,Free,-0.06305416804317218,Teen,Communication,"June 6, 2018",1.8.9,4.1 and up,Free,Excellent,High,Medium
My Tele2,COMMUNICATION,0.23409830803368553,-0.0688767502535129,-0.30294159309561447,-0.06098633625448016,Free,-0.06305416804317218,Everyone,Communication,"August 3, 2018",2.4.1,4.4 and up,Free,Excellent,High,Small
Yahoo Mail – Stay Organized,COMMUNICATION,0.23409830803368553,2.242014243220896,-0.22712296891448375,1.9906675582903826,Free,-0.06305416804317218,Everyone,Communication,"July 18, 2018",5.29.3,4.4 and up,Free,Excellent,High,Medium
imo beta free calls and text,COMMUNICATION,0.23409830803368553,0.21829338809704513,-0.2797747912624912,1.9906675582903826,Free,-0.06305416804317218,Everyone,Communication,"June 7, 2018",9.8.000000010492,4.0 and up,Free,Excellent,High,Medium
imo free video calls and chat,COMMUNICATION,0.23409830803368553,2.5849178107101882,-0.2797747912624912,10.629210272163489,Free,-0.06305416804317218,Everyone,Communication,"June 8, 2018",9.8.000000010501,4.0 and up,Free,Excellent,High,Medium
Call Free – Free Call,COMMUNICATION,0.23409830803368553,-0.14255673586191406,-0.23765333338408526,-0.06098633625448016,Free,-0.06305416804317218,Everyone,Communication,"July 28, 2018",1.3.4,4.1 and up,Free,Excellent,High,Medium
Web Browser & Explorer,COMMUNICATION,-0.3116246893000184,-0.13871874673066614,-0.3261083949287378,-0.06098633625448016,Free,-0.06305416804317218,Everyone,Communication,"July 4, 2018",11.8.6,4.0.3 - 7.1.1,Free,Good,High,Small
Browser 4G,COMMUNICATION,0.23409830803368553,-0.04922282772829847,-0.3261083949287378,0.04699544766893367,Free,-0.06305416804317218,Everyone,Communication,"June 19, 2018",24.6.6,4.0.3 - 7.1.1,Free,Excellent,High,Small
Cricket Visual Voicemail,COMMUNICATION,-0.49353235507792,-0.15202610802958208,-0.34190394163314003,0.04699544766893367,Free,-0.06305416804317218,Everyone,Communication,"July 2, 2018",3.2.0.100171,4.1 and up,Free,Good,High,Small
TracFone My Account,COMMUNICATION,-1.039255352411624,-0.1479707551982829,-0.20606223997528075,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"July 11, 2018",R6.0.3,4.1 and up,Free,Good,High,Medium
Firefox Focus: The privacy browser,COMMUNICATION,0.41600597381158794,-0.13873079062961358,-0.35348734254970166,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"July 6, 2018",5.2,5.0 and up,Free,Excellent,High,Small
TouchPal Keyboard - Fun Emoji & Android Keyboard,COMMUNICATION,0.41600597381158794,0.19305052294122532,-0.005985315052852403,0.04699544766893367,Free,-0.06305416804317218,Mature 17+,Communication,"August 2, 2018",6.7.9.1,4.0.3 and up,Free,Excellent,High,Large
Skype Lite - Free Video Call & Chat,COMMUNICATION,0.05219064225578477,-0.14092564783303344,-0.1639407820968748,-0.06098633625448016,Free,-0.06305416804317218,Everyone,Communication,"July 31, 2018",1.60.0.31354-release,4.0.3 and up,Free,Excellent,High,Medium
UC Browser Mini -Tiny Fast Private & Secure,COMMUNICATION,0.41600597381158794,1.9323839538903722,-0.36085859767842277,1.9906675582903826,Free,-0.06305416804317218,Teen,Communication,"July 18, 2018",11.4.0,4.0 and up,Free,Excellent,High,Small
WhatsApp Business,COMMUNICATION,0.41600597381158794,-0.08150391802139777,-0.058637137400859865,0.04699544766893367,Free,-0.06305416804317218,Everyone,Communication,"July 30, 2018",2.18.116,4.0.3 and up,Free,Excellent,High,Large
My magenta,COMMUNICATION,-0.49353235507792,-0.13558217133335668,-0.005985315052852403,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"June 25, 2018",7.5.1,5.0 and up,Free,Good,High,Large
Antillean Gold Telegram (original version),COMMUNICATION,0.41600597381158794,-0.1581965989236491,-0.21659260444488226,-0.1668084844994257,Free,-0.06305416804317218,Everyone,Communication,"July 16, 2018",2.1,4.1 and up,Free,Excellent,Medium,Medium
Omlet Chat,COMMUNICATION,-0.49353235507792,-0.13651069859030385,-0.027046043992055388,0.04699544766893367,Free,-0.06305416804317218,Teen,Communication,"November 4, 2016",2.2.7600,4.0.3 and up,Free,Good,High,Large
UC Browser - Fast Download Private & Secure,COMMUNICATION,0.5979136395894887,9.998815096919964,0.025605778355952076,10.629210272163489,Free,-0.06305416804317218,Teen,Communication,"August 2, 2018",12.8.5.1121,4.0 and up,Free,Excellent,High,Large
My Vodacom SA,COMMUNICATION,-0.8573476866337223,-0.14553215242092693,0.24674343221758344,-0.06098633625448016,Free,-0.06305416804317218,Everyone,Communication,"June 26, 2018",9.9.0,4.3 and up,Free,Good,High,Large
Microsoft Edge,COMMUNICATION,0.23409830803368553,-0.14428991027234908,0.2993952545655909,-0.06098633625448016,Free,-0.06305416804317218,Everyone,Communication,"July 28, 2018",42.0.0.2059,4.4 and up,Free,Excellent,High,Large
imo free video calls and chat,COMMUNICATION,0.23409830803368553,2.584972868533948,-0.2797747912624912,10.629210272163489,Free,-0.06305416804317218,Everyone,Communication,"June 8, 2018",9.8.000000010501,4.0 and up,Free,Excellent,High,Medium
Hangouts Dialer - Call Phones,COMMUNICATION,-0.3116246893000184,-0.08962724110194104,0.4362899926704103,0.04699544766893367,Free,-0.06305416804317218,Everyone,Communication,"September 2, 2015",0.1.100944346,4.0.3 and up,Free,Good,High,Large
"Talkatone: Free Texts, Calls & Phone Number",COMMUNICATION,-0.1297170235221176,-0.08416963432176243,-0.13234968868807032,0.04699544766893367,Free,-0.06305416804317218,Everyone,Communication,"July 18, 2018",6.1,4.2 and up,Free,Excellent,High,Medium
Calls & Text by Mo+,COMMUNICATION,0.05219064225578477,-0.112143023424664,-0.24818369785368674,-0.06098633625448016,Free,-0.06305416804317218,Everyone,Communication,"April 19, 2018",3.0.4,4.0 and up,Free,Excellent,High,Medium
"GO SMS Pro - Messenger, Free Themes, Emoji",COMMUNICATION,0.41600597381158794,1.4898452250419678,-0.1428800531576718,1.9906675582903826,Free,-0.06305416804317218,Everyone,Communication,"August 1, 2018",7.73,4.0 and up,Free,Excellent,High,Medium
"Messaging+ SMS, MMS Free",COMMUNICATION,-0.1297170235221176,-0.14368714180598005,-0.21659260444488226,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"August 2, 2018",4.98,2.3 and up,Free,Excellent,High,Medium
chomp SMS,COMMUNICATION,0.23409830803368553,0.03261718617648574,-0.30820677533041524,0.04699544766893367,Free,-0.06305416804317218,Everyone,Communication,"July 26, 2018",7.21,2.3 and up,Free,Excellent,High,Small
Text SMS,COMMUNICATION,0.5979136395894887,0.04049619016409542,-0.3092598117773754,0.04699544766893367,Free,-0.06305416804317218,Everyone,Communication,"July 24, 2018",3.47,4.0.3 and up,Free,Excellent,High,Small
mysms SMS Text Messaging Sync,COMMUNICATION,0.23409830803368553,-0.138478442270715,-0.3071537388834551,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"July 30, 2018",6.5.1,4.0.3 and up,Free,Excellent,High,Small
Firefox Focus: The privacy browser,COMMUNICATION,0.41600597381158794,-0.1387233348826461,-0.35348734254970166,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"July 6, 2018",5.2,5.0 and up,Free,Excellent,High,Small
2ndLine - Second Phone Number,COMMUNICATION,0.05219064225578477,-0.1507746895770443,-0.058637137400859865,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"August 3, 2018",5.65.0,4.0 and up,Free,Excellent,High,Large
"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,0.7798213053673895,1.1390901824769457,-0.3313735771635385,0.9108497190562442,Free,-0.06305416804317218,Everyone,Communication,"July 31, 2018",5.22.18.0006,4.0 and up,Free,Excellent,High,Small
Ninesky Browser,COMMUNICATION,0.05219064225578477,-0.13526386828974601,-0.3661237799132235,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"August 27, 2017",6.1,2.3 and up,Free,Excellent,High,Small
UC Browser Mini -Tiny Fast Private & Secure,COMMUNICATION,0.41600597381158794,1.9325904207294708,-0.36085859767842277,1.9906675582903826,Free,-0.06305416804317218,Teen,Communication,"July 18, 2018",11.4.0,4.0 and up,Free,Excellent,High,Small
UC Browser - Fast Download Private & Secure,COMMUNICATION,0.5979136395894887,9.999920841547137,0.025605778355952076,10.629210272163489,Free,-0.06305416804317218,Teen,Communication,"August 2, 2018",12.8.5.1121,4.0 and up,Free,Excellent,High,Large
Ghostery Privacy Browser,COMMUNICATION,-0.1297170235221176,-0.1523690723900851,-0.37244199859498434,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"March 20, 2018",1.4.1.0,4.0.3 and up,Free,Excellent,High,Small
Web Browser for Android,COMMUNICATION,-0.1297170235221176,-0.12828242153321867,-0.3503282332088212,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"June 20, 2018",2.2,4.0 and up,Free,Excellent,High,Small
DU Browser—Browse fast & fun,COMMUNICATION,0.23409830803368553,0.4902021859242159,-0.3461160874209806,0.04699544766893367,Free,-0.06305416804317218,Everyone,Communication,"April 1, 2016",6.4.0.4,4.0 and up,Free,Excellent,High,Small
Lightning Web Browser,COMMUNICATION,-0.1297170235221176,-0.1526684493067784,-0.37138896214802425,-0.1581699417855526,Free,-0.06305416804317218,Everyone,Communication,"July 10, 2017",4.5.1,4.0 and up,Free,Excellent,High,Small
Web Browser,COMMUNICATION,0.05219064225578477,-0.15359353544974055,-0.37138896214802425,-0.1581699417855526,Free,-0.06305416804317218,Everyone,Communication,"February 2, 2015",2.0,3.0 and up,Free,Excellent,High,Small
Contacts+,COMMUNICATION,0.05219064225578477,-0.050561994587453266,-0.2797747912624912,0.04699544766893367,Free,-0.06305416804317218,Everyone,Communication,"July 31, 2018",5.85.1,4.0.3 and up,Free,Excellent,High,Medium
ExDialer - Dialer & Contacts,COMMUNICATION,0.05219064225578477,-0.08805924016278506,-0.36717681636018357,0.04699544766893367,Free,-0.06305416804317218,Everyone,Communication,"March 5, 2017",196,2.1 and up,Free,Excellent,High,Small
PHONE for Google Voice & GTalk,COMMUNICATION,0.23409830803368553,-0.11855152470269215,-0.25871406232328825,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"April 18, 2018",3.0.7,4.0 and up,Free,Excellent,High,Medium
Safest Call Blocker,COMMUNICATION,0.41600597381158794,-0.14408745806623274,-0.3566464518905821,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"January 5, 2018",1.26.001,4.0 and up,Free,Excellent,High,Small
Full Screen Caller ID,COMMUNICATION,0.05219064225578477,-0.09966841171011327,-0.2903051557320927,-0.06098633625448016,Free,-0.06305416804317218,Everyone,Communication,"May 15, 2018",3.5.0,4.0.3 and up,Free,Excellent,High,Small
Hiya - Caller ID & Block,COMMUNICATION,0.41600597381158794,-0.05796612484513567,-0.25871406232328825,0.04699544766893367,Free,-0.06305416804317218,Mature 17+,Communication,"July 25, 2018",8.1.2-6310,5.0 and up,Free,Excellent,High,Medium
Call Blocker,COMMUNICATION,-0.1297170235221176,-0.14982895675017222,-0.2903051557320927,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"July 26, 2018",5.86,4.0.3 and up,Free,Excellent,High,Small
Mr. Number-Block calls & spam,COMMUNICATION,0.05219064225578477,-0.05821847320403422,-0.25871406232328825,0.04699544766893367,Free,-0.06305416804317218,Mature 17+,Communication,"July 13, 2018",5.1.2-6310,5.0 and up,Free,Excellent,High,Medium
Should I Answer?,COMMUNICATION,1.1436366369231927,-0.02368976195974535,-0.30294159309561447,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"July 26, 2018",2018.1.715,4.0 and up,Free,Excellent,High,Small
RocketDial Dialer & Contacts,COMMUNICATION,0.41600597381158794,-0.1413838895120333,-0.3376917958452994,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"December 4, 2017",3.9.7,2.1 and up,Free,Excellent,High,Small
"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,0.41600597381158794,0.11745154276720023,-0.1850015110360778,0.04699544766893367,Free,-0.06305416804317218,Everyone,Communication,"July 29, 2018",1.286,4.1 and up,Free,Excellent,High,Medium
Whoscall - Caller ID & Block,COMMUNICATION,0.41600597381158794,0.156953237238783,-0.09022823080966434,0.04699544766893367,Free,-0.06305416804317218,Everyone,Communication,"August 1, 2018",6.19.1,4.1 and up,Free,Excellent,High,Medium
Call Control - Call Blocker,COMMUNICATION,0.41600597381158794,-0.10607175131716394,-0.2797747912624912,-0.06098633625448016,Free,-0.06305416804317218,Everyone,Communication,"July 5, 2018",2.17.3,4.1 and up,Free,Excellent,High,Medium
Video Caller Id,COMMUNICATION,0.05219064225578477,-0.15111478634255981,-0.21659260444488226,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"January 24, 2018",2.2.245,4.0.3 and up,Free,Excellent,High,Medium
Sync.ME – Caller ID & Block,COMMUNICATION,0.5979136395894887,-0.04188694623131817,-0.21659260444488226,-0.06098633625448016,Free,-0.06305416804317218,Everyone,Communication,"July 26, 2018",4.5.4,4.1 and up,Free,Excellent,High,Medium
Caller ID +,COMMUNICATION,-0.3116246893000184,-0.15443488781906822,0.8469742069848685,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"June 7, 2016",5.28.0,2.3 and up,Free,Good,High,Large
Yahoo Mail – Stay Organized,COMMUNICATION,0.23409830803368553,2.2420968299565356,-0.22712296891448375,1.9906675582903826,Free,-0.06305416804317218,Everyone,Communication,"July 18, 2018",5.29.3,4.4 and up,Free,Excellent,High,Medium
K-9 Mail,COMMUNICATION,0.05219064225578477,-0.10916760686565113,-0.34190394163314003,-0.06098633625448016,Free,-0.06305416804317218,Everyone,Communication,"January 6, 2018",5.403,4.0.3 and up,Free,Excellent,High,Small
Email TypeApp - Mail App,COMMUNICATION,0.7798213053673895,-0.05471369861033188,0.06772723623435804,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"August 1, 2018",1.9.4.74,4.1 and up,Free,Excellent,High,Large
All Email Providers,COMMUNICATION,-0.1297170235221176,-0.14789505069061334,-0.3187371398000167,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"April 3, 2018",5.0.9,4.1 and up,Free,Excellent,High,Small
"Newton Mail - Email App for Gmail, Outlook, IMAP",COMMUNICATION,-0.3116246893000184,-0.08957160975918385,-0.07969786634006286,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"July 19, 2018",9.8.376,5.0 and up,Free,Good,High,Medium
GO Notifier,COMMUNICATION,0.05219064225578477,-0.08856737799456714,6.92299450594493,0.04699544766893367,Free,-0.06305416804317218,Everyone,Communication,"July 6, 2014",2.8,2.0 and up,Free,Excellent,High,Large
Mail1Click - Secure Mail,COMMUNICATION,-0.1297170235221176,-0.15973592391293023,-0.37876021727674525,-0.16875215661004717,Free,-0.06305416804317218,Everyone,Communication,"April 11, 2017",2.3,2.2 and up,Free,Excellent,Medium,Small
Daum Mail - Next Mail,COMMUNICATION,0.23409830803368553,-0.13612701438097854,-0.19553187550567927,-0.06098633625448016,Free,-0.06305416804317218,Everyone,Communication,"June 21, 2018",3.2.0,4.0 and up,Free,Excellent,High,Medium
Vonage Mobile® Call Video Text,COMMUNICATION,-0.1297170235221176,-0.14313082837840826,-0.1534104176272733,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Communication,"September 28, 2016",2.9.8,2.3.3 and up,Free,Excellent,High,Medium
JusTalk - Free Video Calls and Fun Video Chat,COMMUNICATION,0.7798213053673895,-0.05032169012750214,-0.12181932421846882,-0.06098633625448016,Free,-0.06305416804317218,Everyone,Communication,"August 4, 2018",7.2.29,4.0.3 and up,Free,Excellent,High,Medium
Calculator,DATING,-2.858332010190638,-0.15984948067443458,-0.3303205407165784,-0.1689465238211093,Paid,0.3316700673487619,Everyone,Dating,"October 25, 2017",1.1.6,4.0 and up,Paid,Average,Low,Small
AMBW Dating App: Asian Men Black Women Interracial,DATING,-1.2211630181895254,-0.1598810242192969,-0.21659260444488226,-0.16896596054221552,Paid,0.38813991504431755,Mature 17+,Dating,"January 21, 2017",1.0.1,4.0 and up,Paid,Good,Low,Medium
OkCupid Dating,DATING,-0.1297170235221176,0.003987117821450438,-0.23765333338408526,0.04699544766893367,Free,-0.06305416804317218,Mature 17+,Dating,"July 30, 2018",11.10.1,4.1 and up,Free,Excellent,High,Medium
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,-0.1297170235221176,-0.1584162566996903,0.19409160986957597,-0.1668084844994257,Free,-0.06305416804317218,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up,Free,Excellent,Medium,Large
Hinge: Dating & Relationships,DATING,0.05219064225578477,-0.15542076697576504,-0.26924442679288974,-0.1581699417855526,Free,-0.06305416804317218,Mature 17+,Dating,"August 3, 2018",6.1.3,5.0 and up,Free,Excellent,High,Medium
Casual Dating & Adult Singles - Joyride,DATING,0.5979136395894887,-0.12453218080858774,-0.2797747912624912,-0.06098633625448016,Free,-0.06305416804317218,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up,Free,Excellent,High,Medium
BBW Dating & Plus Size Chat,DATING,0.41600597381158794,-0.15263747928091356,-0.09022823080966434,-0.14737176339321123,Free,-0.06305416804317218,Mature 17+,Dating,"July 27, 2018",3.5.0.1,4.1 and up,Free,Excellent,High,Medium
CMB Free Dating App,DATING,-0.3116246893000184,-0.13186863582456554,0.025605778355952076,-0.14737176339321123,Free,-0.06305416804317218,Mature 17+,Dating,"August 1, 2018",4.19.0.2320,4.4 and up,Free,Good,High,Large
eharmony - Online Dating App,DATING,-1.948793681301131,-0.14191955625569522,0.1625005164607715,-0.06098633625448016,Free,-0.06305416804317218,Mature 17+,Dating,"July 30, 2018",6.6.5,4.1 and up,Free,Good,High,Large
Free Dating App & Flirt Chat - Match with Singles,DATING,0.41600597381158794,-0.060973084949010874,-0.362964670572343,-0.06098633625448016,Free,-0.06305416804317218,Mature 17+,Dating,"August 4, 2018",1.639,4.0 and up,Free,Excellent,High,Small
"Chispa, the Dating App for Latino, Latina Singles",DATING,0.05219064225578477,-0.15747625906279322,-0.1428800531576718,-0.1668084844994257,Free,-0.06305416804317218,Mature 17+,Dating,"July 25, 2018",1.6.1,4.4 and up,Free,Excellent,Medium,Medium
Clover Dating App,DATING,-0.1297170235221176,-0.15321042475941277,-0.1534104176272733,-0.1581699417855526,Free,-0.06305416804317218,Mature 17+,Dating,"July 24, 2018",2.5.1,4.1 and up,Free,Excellent,High,Medium
Black People Meet Singles Date,DATING,-0.49353235507792,-0.1540253952548556,-0.34295697808010017,-0.14737176339321123,Free,-0.06305416804317218,Mature 17+,Dating,"July 25, 2018",1.9.7,4.4 and up,Free,Good,High,Small
Mingle2 - Free Online Dating & Singles Chat Rooms,DATING,0.23409830803368553,-0.13863157184304664,0.06772723623435804,-0.14737176339321123,Free,-0.06305416804317218,Mature 17+,Dating,"August 3, 2018",4.4B,4.1 and up,Free,Excellent,High,Large
Free Dating App & Flirt Chat - Cheers,DATING,0.41600597381158794,-0.1594996340859616,-0.11128895974886734,-0.16875215661004717,Free,-0.06305416804317218,Mature 17+,Dating,"August 3, 2018",1.308.us,4.1 and up,Free,Excellent,Medium,Medium
stranger chat - anonymous chat,DATING,-1.2211630181895254,-0.15231057345234045,-0.3313735771635385,-0.14737176339321123,Free,-0.06305416804317218,Mature 17+,Dating,"July 7, 2018",2.4.1,4.1 and up,Free,Good,High,Small
Free Dating Hook Up Messenger,DATING,-1.5849783497453287,-0.1592186097771882,-0.17447114656647628,-0.1668084844994257,Free,-0.06305416804317218,Mature 17+,Dating,"January 27, 2017",5.0.1,4.2 and up,Free,Good,Medium,Medium
Find Real Love — YouLove Premium Dating,DATING,0.5979136395894887,-0.03793712089555839,-0.2797747912624912,0.04699544766893367,Free,-0.06305416804317218,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up,Free,Excellent,High,Medium
Once - Quality Matches Every day,DATING,0.41600597381158794,-0.03205166894324724,-0.17447114656647628,-0.14737176339321123,Free,-0.06305416804317218,Mature 17+,Dating,"July 17, 2018",2.45,4.1 and up,Free,Excellent,High,Medium
BLK - Swipe. Match. Chat.,DATING,-0.1297170235221176,-0.1586967074894662,-0.1428800531576718,-0.1668084844994257,Free,-0.06305416804317218,Mature 17+,Dating,"July 25, 2018",1.6.1,4.4 and up,Free,Excellent,Medium,Medium
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,-0.49353235507792,-0.1589398795444048,-0.06916750187046136,-0.1581699417855526,Free,-0.06305416804317218,Mature 17+,Dating,"July 3, 2018",4.5.5,4.1 and up,Free,Good,High,Large
Howlr,DATING,-0.49353235507792,-0.15982195176255473,-0.11128895974886734,-0.16886013839397057,Free,-0.06305416804317218,Mature 17+,Dating,"June 19, 2018",1.0.4,4.4 and up,Free,Good,Medium,Medium
Stranger Chat & Date,DATING,-1.039255352411624,-0.15792417739983816,-0.3303205407165784,-0.1581699417855526,Free,-0.06305416804317218,Mature 17+,Dating,"June 6, 2018",1.2.1,4.1 and up,Free,Good,High,Small
RandoChat - Chat roulette,DATING,-1.039255352411624,-0.15311120597284583,-0.26924442679288974,-0.14737176339321123,Free,-0.06305416804317218,Mature 17+,Dating,"June 26, 2018",4.0.18,4.0.3 and up,Free,Good,High,Medium
BeWild Free Dating & Chat App,DATING,-1.403070683967427,-0.15873570678129598,-0.3113658846712957,-0.1668084844994257,Free,-0.06305416804317218,Mature 17+,Dating,"February 3, 2017",1.6.5,4.2 and up,Free,Good,Medium,Small
"FastMeet: Chat, Dating, Love",DATING,0.05219064225578477,-0.14695275897772628,-0.33347965005745883,-0.14737176339321123,Free,-0.06305416804317218,Mature 17+,Dating,"July 27, 2018",1.31.4,4.0.3 and up,Free,Excellent,High,Small
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,-0.1297170235221176,-0.10385854150582417,-0.31241892111825587,-0.14737176339321123,Free,-0.06305416804317218,Mature 17+,Dating,"July 10, 2018",1.230,4.0.3 and up,Free,Excellent,High,Small
OurTime Dating for Singles 50+,DATING,-1.403070683967427,-0.1584374769025977,-0.34295697808010017,-0.1668084844994257,Free,-0.06305416804317218,Mature 17+,Dating,"July 25, 2018",1.9.7,4.4 and up,Free,Good,Medium,Small
FarmersOnly Dating,DATING,-2.1307013470790324,-0.15922491848616066,-0.3808662901706656,-0.1668084844994257,Free,-0.06305416804317218,Mature 17+,Dating,"February 25, 2016",2.2,4.0 and up,Free,Average,Medium,Small
Dating for 50 plus Mature Singles – FINALLY,DATING,0.7798213053673895,-0.15240004241594993,-0.25871406232328825,-0.1581699417855526,Free,-0.06305416804317218,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up,Free,Excellent,High,Medium
Sudy – Meet Elite & Rich Single,DATING,-0.1297170235221176,-0.14997864520851886,0.025605778355952076,-0.1581699417855526,Free,-0.06305416804317218,Mature 17+,Dating,"June 25, 2018",4.1.2,4.0.3 and up,Free,Excellent,High,Large
Christian Dating For Free App,DATING,-0.49353235507792,-0.15487993856112567,-0.25871406232328825,-0.1581699417855526,Free,-0.06305416804317218,Mature 17+,Dating,"June 20, 2018",15.8,4.1 and up,Free,Good,High,Medium
Just She - Top Lesbian Dating,DATING,-4.131685670635949,-0.15933560765267754,-0.19553187550567927,-0.1668084844994257,Free,-0.06305416804317218,Mature 17+,Dating,"July 18, 2018",6.3.7,5.0 and up,Free,Poor,Medium,Medium
Single Parent Meet #1 Dating,DATING,-1.2211630181895254,-0.15839503649678294,-0.34295697808010017,-0.1581699417855526,Free,-0.06305416804317218,Mature 17+,Dating,"July 25, 2018",1.9.7,4.4 and up,Free,Good,High,Small
EliteSingles – Dating for Single Professionals,DATING,-3.0402396759685395,-0.15679835960775212,-0.19553187550567927,-0.1581699417855526,Free,-0.06305416804317218,Mature 17+,Dating,"July 31, 2018",4.8.5,4.0.3 and up,Free,Average,High,Medium
Millionaire Match: Rich Singles Dating App,DATING,-0.49353235507792,-0.1593935330714247,-0.11128895974886734,-0.1668084844994257,Free,-0.06305416804317218,Mature 17+,Dating,"July 30, 2018",6.4.6,4.1 and up,Free,Good,Medium,Medium
InterracialCupid - Interracial Dating App,DATING,-1.403070683967427,-0.1597605852298226,-0.36401770701930314,-0.16788830233865984,Free,-0.06305416804317218,Mature 17+,Dating,"June 13, 2018",2.3.0.1781,5.0 and up,Free,Good,Medium,Small
Sugar Mommas Dating And Single Search,DATING,-1.2211630181895254,-0.1587511917942284,-0.25871406232328825,-0.14737176339321123,Free,-0.06305416804317218,Mature 17+,Dating,"May 12, 2018",4.3,4.1 and up,Free,Good,High,Medium
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,0.41600597381158794,-0.13969086143142304,-0.3197901762469769,-0.14737176339321123,Free,-0.06305416804317218,Everyone,Dating,"May 21, 2018",2.9.6,4.0 and up,Free,Excellent,High,Small
"muzmatch: Muslim & Arab Singles, Marriage & Dating",DATING,-0.6754400208558216,-0.15692051915421892,-0.13234968868807032,-0.1668084844994257,Free,-0.06305416804317218,Mature 17+,Dating,"July 24, 2018",3.8.75a,4.0.3 and up,Free,Good,Medium,Medium
Sugar Daddy Dating App,DATING,-3.0402396759685395,-0.1597233064949853,-0.3355857229513791,-0.1668084844994257,Free,-0.06305416804317218,Mature 17+,Dating,"December 4, 2017",3.0.0,4.1 and up,Free,Average,Medium,Small
Adult Dirty Emojis,DATING,-2.494516678634836,-0.15983628973749214,-0.3376917958452994,-0.16875215661004717,Free,-0.06305416804317218,Teen,Dating,"November 6, 2017",1.0,4.0.3 and up,Free,Average,Medium,Small
"Meet4U - Chat, Love, Singles!",DATING,0.05219064225578477,-0.13692133819251148,-0.3271614313756979,-0.14737176339321123,Free,-0.06305416804317218,Mature 17+,Dating,"July 27, 2018",1.31.3,4.0.3 and up,Free,Excellent,High,Small
SnpCupid Dating,DATING,-1.2211630181895254,-0.159255314993028,-0.334532686504419,-0.1668084844994257,Free,-0.06305416804317218,Mature 17+,Dating,"January 28, 2017",1.6.6,4.2 and up,Free,Good,Medium,Small
